Player;Team;Pos;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS
Julius Randle;MIN;PF;7;7;33.1;7.7;13.4;.574;1.9;4.0;.464;5.9;9.4;.621;.644;4.1;5.4;.763;1.9;4.6;6.4;4.7;0.7;0.0;2.7;2.7;21.4
Zion Williamson;NOP;PF;5;5;31.4;7.6;17.2;.442;0.4;1.2;.333;7.2;16.0;.450;.453;5.8;9.4;.617;2.8;5.2;8.0;5.6;0.6;1.2;3.6;3.0;21.4
Karl-Anthony Towns;NYK;C;6;6;31.2;7.7;14.7;.523;1.8;3.2;.579;5.8;11.5;.507;.585;4.2;4.7;.893;3.3;9.2;12.5;2.5;0.7;0.7;1.5;3.2;21.3
James Harden;LAC;SG;7;7;35.1;6.4;16.9;.381;2.6;8.7;.295;3.9;8.1;.474;.458;5.7;6.9;.833;0.9;7.9;8.7;9.9;1.6;1.3;5.0;2.6;21.1
Ja Morant;MEM;PG;7;7;28.3;7.0;15.4;.454;0.9;4.0;.214;6.1;11.4;.538;.481;5.9;7.0;.837;0.6;4.6;5.1;9.7;0.6;0.1;4.1;1.7;20.7
Domantas Sabonis;SAC;C;7;7;37.0;7.4;12.3;.605;1.1;2.3;.500;6.3;10.0;.629;.651;4.7;5.7;.825;3.1;10.3;13.4;6.4;0.6;0.3;3.0;4.1;20.7
Coby White;CHI;PG;7;7;33.9;7.0;15.4;.454;3.9;9.3;.415;3.1;6.1;.512;.579;2.7;3.4;.792;0.3;4.0;4.3;4.6;1.3;0.1;2.6;2.4;20.6
Darius Garland;CLE;PG;8;8;28.9;7.8;14.8;.525;3.3;7.3;.448;4.5;7.5;.600;.636;1.8;1.8;1.000;0.6;1.4;2.0;6.5;1.0;0.4;2.4;3.0;20.5
Pascal Siakam;IND;PF;7;7;33.4;8.3;14.9;.558;2.0;4.4;.452;6.3;10.4;.603;.625;1.7;2.6;.667;2.0;5.0;7.0;5.1;0.7;0.3;1.4;2.4;20.3
Dennis Schröder;BRK;PG;8;8;34.8;6.9;13.6;.505;3.1;6.4;.490;3.8;7.3;.517;.619;3.0;3.5;.857;0.1;2.9;3.0;7.3;1.4;0.0;2.6;3.0;19.9
Stephen Curry;GSW;PG;4;4;25.8;6.0;14.0;.429;3.8;9.0;.417;2.3;5.0;.450;.563;4.0;4.0;1.000;0.3;4.5;4.8;6.5;1.5;0.3;3.3;1.3;19.8
Jaden Ivey;DET;SG;8;8;32.1;7.0;15.0;.467;2.0;5.1;.390;5.0;9.9;.506;.533;3.6;4.8;.763;1.4;3.1;4.5;3.6;1.0;0.3;3.0;2.6;19.6
Jaren Jackson Jr.;MEM;C;6;6;27.5;7.3;12.8;.571;1.5;3.5;.429;5.8;9.3;.625;.630;3.3;5.0;.667;1.2;3.8;5.0;0.8;1.5;1.2;1.8;3.5;19.5
Anfernee Simons;POR;SG;8;8;34.1;6.5;16.9;.385;2.6;8.3;.318;3.9;8.6;.449;.463;3.9;4.3;.912;0.3;2.4;2.6;5.1;0.9;0.1;2.6;1.3;19.5
Scottie Barnes;TOR;SF;4;4;33.5;7.3;15.8;.460;0.5;2.8;.182;6.8;13.0;.519;.476;4.3;5.8;.739;2.5;5.3;7.8;6.0;2.0;0.5;4.0;3.0;19.3
Derrick White;BOS;SG;8;8;33.0;6.5;13.6;.477;3.6;8.8;.414;2.9;4.9;.590;.610;2.4;2.6;.905;0.9;3.5;4.4;4.1;1.0;1.1;1.3;2.4;19.0
Victor Wembanyama;SAS;PF;7;7;31.4;6.7;15.9;.423;1.6;7.1;.220;5.1;8.7;.590;.473;3.9;4.1;.931;2.0;8.3;10.3;3.1;1.3;3.9;3.3;2.4;18.9
