Rk;Jogador;Equipe;Minutos jogados;Taxa de acerto total;Pontos de 3 convertidos;Pontos de 3 tentados;Taxa de acerto de 3 pontos;Rebotes;Assistencias;Pontos por jogo
64;Darius Garland;CLE;33.4;.446;2.3;6.2;.371;2.7;6.5;18.0
65;D'Angelo Russell;LAL;32.7;.456;3.0;7.2;.415;3.1;6.3;18.0
66;Nikola Vučević;CHI;34.3;.484;1.2;4.1;.294;10.5;3.3;18.0
67;Klay Thompson;GSW;29.7;.432;3.5;9.0;.387;3.3;2.3;17.9
68;Jordan Poole;WAS;30.1;.413;2.4;7.2;.326;2.7;4.4;17.4
69;Fred VanVleet;HOU;36.8;.416;3.1;8.0;.387;3.8;8.1;17.4
70;Brandon Miller;CHO;32.2;.440;2.5;6.7;.373;4.3;2.4;17.3
71;Tobias Harris;PHI;33.8;.487;1.3;3.7;.353;6.5;3.1;17.2
72;Jordan Clarkson;UTA;30.6;.413;1.7;5.6;.294;3.4;5.0;17.1
73;Myles Turner;IND;27.0;.524;1.5;4.2;.358;6.9;1.3;17.1
74;Immanuel Quickley;2TM;29.2;.434;2.5;6.4;.395;3.8;4.9;17.0
74;Immanuel Quickley;NYK;24.0;.454;2.1;5.4;.395;2.6;2.5;15.0
74;Immanuel Quickley;TOR;33.3;.422;2.8;7.1;.395;4.8;6.8;18.6
75;Bogdan Bogdanović;ATL;30.4;.428;3.0;8.1;.374;3.4;3.1;16.9
76;Deandre Ayton;POR;32.4;.570;0.0;0.2;.100;11.1;1.6;16.7
77;Michael Porter Jr.;DEN;31.7;.484;2.7;6.8;.397;7.0;1.5;16.7
78;James Harden;LAC;34.3;.428;2.6;6.8;.381;5.1;8.5;16.6
79;Jarrett Allen;CLE;31.7;.634;0.0;0.1;.000;10.5;2.7;16.5
80;Chet Holmgren;OKC;29.4;.530;1.6;4.3;.370;7.9;2.4;16.5
81;Jonathan Kuminga;GSW;26.3;.529;0.7;2.2;.321;4.8;2.2;16.1
82;Jalen Johnson;ATL;33.7;.511;1.3;3.6;.355;8.7;3.6;16.0
83;Austin Reaves;LAL;32.1;.486;1.9;5.1;.367;4.3;5.5;15.9
84;Shaedon Sharpe;POR;33.1;.406;1.9;5.6;.333;5.0;2.9;15.9
85;Malcolm Brogdon;POR;28.7;.440;2.1;5.1;.412;3.8;5.5;15.7
86;Keldon Johnson;SAS;29.5;.454;1.8;5.3;.346;5.5;2.8;15.7
87;Evan Mobley;CLE;30.6;.580;0.4;1.2;.373;9.4;3.2;15.7
88;De'Andre Hunter;ATL;29.5;.459;2.1;5.3;.385;3.9;1.5;15.6
89;Donte DiVincenzo;NYK;29.1;.443;3.5;8.7;.401;3.7;2.7;15.5
90;Jaden Ivey;DET;28.8;.429;1.6;4.8;.336;3.4;3.8;15.4
91;Malik Monk;SAC;26.0;.443;2.1;5.9;.350;2.9;5.1;15.4
92;Kelly Oubre Jr.;PHI;30.2;.441;1.5;4.8;.311;5.0;1.5;15.4
93;Bojan Bogdanović;2TM;25.9;.454;2.3;5.9;.398;2.7;1.7;15.2
